Price,Close,High,Low,Open,Volume,Close_100
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2024-05-07,407.0530700683594,412.35330908567454,406.80446678398084,412.3433552432336,20018200,110.57701634143467
2024-05-08,408.2463684082031,409.92692899899777,404.43774918638377,405.88961418303944,11792300,110.90117891316751
2024-05-09,410.01641845703125,410.41417762934384,406.8144070472337,408.2761955244691,14689700,111.38201757418425
2024-05-10,412.4228820800781,413.05932103483843,409.4993051191923,410.6329506272042,13402300,112.03573962405366
2024-05-13,411.4085998535156,416.01273748411734,408.52480785647384,415.674640662803,15440200,111.7602072412059
2024-05-14,414.23272705078125,415.1575239695539,409.25070760597373,409.7180829864954,15109300,112.52738867823544
2024-05-15,421.4751281738281,422.20237002831465,415.68716952908693,416.31478463063036,22239500,114.49480562266456
2024-05-16,419.3930969238281,423.80631621551015,418.7555403717738,420.20002201107366,17530100,113.92921646369822
2024-05-17,418.61602783203125,421.31577000047076,416.4443044242217,420.93720657305465,15352200,113.71812364072156
2024-05-20,423.7265930175781,425.1511614328831,418.396880603077,418.61604731326383,16272100,115.10642185437041
2024-05-21,427.4125671386719,431.3276525035277,423.23845828138275,425.2109282566258,21453300,116.107726231104
2024-05-22,428.8869323730469,430.76977778184096,425.5098071947049,428.4585707536916,18073700,116.50824134965438
2024-05-23,425.3802795410156,431.9552501295072,423.806286262839,431.3276350167133,17211700,115.55565006359396
2024-05-24,428.5283203125,429.42490035124973,422.80013121816387,425.5695849033528,11845800,116.41082345848686
2024-05-28,428.68768310546875,429.18578646553686,424.98179289048926,428.00029803642946,15718000,116.45411477221987
2024-05-29,427.5420837402344,429.3053588233618,424.0752731477367,424.0752731477367,15517100,116.14290974996324
2024-05-30,413.0970764160156,422.6905221136095,412.66868439774686,422.6905221136095,28424800,112.21888625427006
2024-05-31,413.5553283691406,415.16917849985816,402.97561715504287,415.16917849985816,47995300,112.34337157924423
2024-06-03,411.951416015625,414.85038138867975,407.36888915692555,413.95380136857847,17484700,111.90766465165581
2024-06-04,414.49176025390625,414.86035189643934,408.1259843675055,410.8655529993055,14348900,112.59775571595394
2024-06-05,422.4016418457031,422.47135321415044,414.72086576752366,416.22514771727197,16988000,114.7464954512618
2024-06-06,422.90966796875,423.69667979403914,418.9846110399524,422.40162321221555,14861300,114.88450205787109
2024-06-07,422.24224853515625,424.6630237069637,421.3954666942958,424.58334054159934,13621700,114.70319584734996
2024-06-10,426.2469787597656,426.4561736654937,422.28209533796144,423.08902037615866,14003000,115.7910911417284
2024-06-11,431.0387268066406,431.17821034370814,423.6369179932823,423.8660564891145,14551100,117.09278185737477
2024-06-12,439.386962890625,441.7180831231833,431.6065903189822,433.6687456637979,22366200,119.36060172107427
2024-06-13,439.9049987792969,441.70816111194614,437.7033901966821,439.1777872502892,15960600,119.50132750633244
2024-06-14,440.8912353515625,441.4590805041377,435.06341969503586,436.61749981653395,13582000,119.76924121485607
2024-06-17,446.6692199707031,449.2294786395013,439.04824433956117,440.91114611586056,20790000,121.33884563902606
2024-06-18,444.6469421386719,448.4325462425365,443.2024605110735,448.00415421057704,17112500,120.7894886501649
2024-06-20,444.0093688964844,444.836207137568,439.59614980649565,444.60706863615064,19877400,120.61629023451755
2024-06-21,448.0738830566406,448.87083631771554,444.8162978396789,445.68299287159783,34486200,121.72042598917999
2024-06-24,445.971923828125,451.0326411348473,444.7166934969366,448.09381883309726,15913700,121.14942334345233
2024-06-25,449.23944091796875,449.7076593011684,445.05536045525633,446.54967056310835,16747500,122.03705278837677
2024-06-26,450.4448547363281,451.87939491079237,446.4899126612236,447.29683770913255,16507000,122.3645065610962
2024-06-27,451.1322326660156,454.43964637133854,450.0563123513601,450.4647607669407,14806300,122.55123454855747
2024-06-28,445.254638671875,453.65265464759193,444.7166784906869,451.3514193859445,28362300,120.95457098075966
2024-07-01,454.9975280761719,455.6350845987226,443.9695118583906,446.9581321622781,17662800,123.60125201596423
2024-07-02,457.537841796875,457.8466634618686,451.39123268024355,451.48091804269,13979800,124.29133479008357
2024-07-03,459.0221862792969,459.27123797386463,456.143164499039,456.4519861681576,9932800,124.69456079710402
2024-07-05,465.78643798828125,466.5734498542255,457.2290254263628,457.8665819543775,16000300,126.53208721997642
2024-07-08,464.471435546875,465.9259193229851,462.69818870917646,464.7802572139819,12962300,126.17486341515907
2024-07-09,457.796875,465.55730397446223,456.26270803688647,465.2285691118471,17207200,124.36170182780204
2024-07-10,464.4814147949219,464.6906097078431,457.1194320404737,459.4704958685422,18196100,126.17757430362913
2024-07-11,452.9752197265625,463.0169703529818,449.8371441541028,461.22381037027674,23111200,123.05188673692426
2024-07-12,451.8295593261719,454.6288978616777,448.94056583137933,452.6065993751412,16324300,122.74066513431
2024-07-15,452.238037109375,455.52553783912686,449.7176350841416,451.58053696342466,14429400,122.85162917764909
2024-07-16,447.81488037109375,452.5767477715214,444.9657434486552,452.4970646024392,17175700,121.65006724164031
2024-07-17,441.8376159667969,443.16258799675774,437.51408223046485,440.91115096654386,21778000,120.02632794985702
2024-07-18,438.6995849609375,442.9633488615893,432.7522291311158,442.65452718481316,20794800,119.17387373361301
2024-07-19,435.4519348144531,439.4666773586476,430.36133271708457,431.4571662650149,20940400,118.29164119509228
2024-07-22,441.25982666015625,442.9135335372959,437.2451146156544,440.11419496144765,15808800,119.86936999449367
2024-07-23,443.16259765625,446.6891782136702,441.4192357696415,442.2161890427922,13107100,120.38626264314445
2024-07-24,427.2730712890625,439.80536929637776,425.9680428717,438.7792775544404,26805800,116.06983182377468
2024-07-25,416.8128967285156,428.1696475602488,415.9262885329197,427.1734408135737,29943800,113.22829842587743
2024-07-26,423.6568298339844,427.29300876037615,415.6871759053529,416.61367127993725,23583800,115.08747050561634
2024-07-29,425.111328125,430.51075182155637,423.0890295874203,429.942906663257,15125800,115.48258871776302
2024-07-30,421.3157958984375,427.4225180835465,415.77685808571965,426.09757640796397,32687600,114.45152259911033
2024-07-31,416.76312255859375,420.18010460008077,410.64639818879624,418.90496110695756,42891400,113.2147771442423
2024-08-01,415.5278015136719,425.838547918417,411.52306114392917,419.19386562327855,30296400,112.87919899629146
2024-08-02,406.94049072265625,413.42580647571236,402.80623873826266,410.9253177730246,29437900,110.5464338718136
2024-08-05,393.6510925292969,399.51876489974967,384.1173866027343,387.6937956010728,40709200,106.93633457702596
2024-08-06,398.09417724609375,404.1312183098937,396.9884023118245,398.48271248363807,24946500,108.14330999979606
2024-08-07,396.9186706542969,408.5244738707381,395.9623206324772,407.08996403891814,20650900,107.82398060230803
2024-08-08,401.1625061035156,404.32046453514727,398.42293748970286,400.9134544113508,20203000,108.97682944764362
2024-08-09,404.4798583984375,406.5021569084041,400.73414164807366,402.4974166714437,19276700,109.8779967545608
2024-08-12,405.2668762207031,407.2094915951495,402.7066175092627,405.5159279147697,16762900,110.09179217582872
2024-08-13,412.4395751953125,413.3760119926634,408.01641469772835,408.03632788850376,19414300,112.04027435186138
2024-08-14,415.27874755859375,416.13550120626286,410.88550237176327,413.22656400495976,18267000,112.81154284704304
2024-08-15,420.1889343261719,420.2687611144248,416.82567123071317,418.9613804533999,20752100,114.14540774664152
2024-08-16,417.634033203125,420.4982949962473,416.46635708464305,419.7597830235576,22775600,113.45136226705219
2024-08-19,420.68792724609375,420.90748898024606,415.6280480476388,418.12305390999944,15234000,114.28096046032378
2024-08-20,423.9513854980469,425.0092655510223,420.7977248783259,420.85760258271205,16387600,115.16748731146681
2024-08-21,423.292724609375,425.5481891739701,420.87754555991404,423.2328164492432,16067300,114.98856038226346
2024-08-22,414.7198791503906,425.93744667495105,413.78175447140427,423.51227773093285,19361900,112.65972480254038
2024-08-23,415.9573974609375,418.4224644213377,411.2667743519609,416.14702033916933,18493800,112.99589984336535
2024-08-26,412.6639709472656,416.4464082807184,410.51827204332665,415.53822251165116,13152800,112.10123203663332
2024-08-27,413.0132751464844,413.53222538686055,409.4304504838206,412.03522191159976,13492900,112.19612142326454
2024-08-28,409.77978515625,414.1709895566114,406.49634878347894,414.05123414353307,14882700,111.3177355277105
2024-08-29,412.29473876953125,421.2068927223571,409.77978373376925,414.11111041255606,17045200,112.00092916324076
2024-08-30,416.30670166015625,416.655978106258,411.3067002995332,414.76976956217663,24308300,113.09078922999657
2024-09-03,408.6220703125,419.04121691819955,406.2168810784247,417.07515113927735,20313600,111.00323930446727
2024-09-04,408.0831604003906,410.41848227651053,403.5622109113736,405.09914307922884,15135800,110.85684303690473
2024-09-05,407.5741882324219,412.2747707026805,405.31869320908027,406.80570694219614,14195500,110.7185794347524
2024-09-06,400.8975524902344,409.82965516660903,399.9993260182044,408.2428350994982,19609500,108.90485411523647
2024-09-09,404.9095153808594,407.83365496197575,401.34663967543116,406.42646799117773,15295100,109.99471418199232
2024-09-10,413.3725891113281,415.4983085515719,406.8855737804821,407.3845749597779,19594300,112.29372998854463
2024-09-11,422.1949157714844,423.14299971452004,408.7617824312734,414.66996964762023,19266900,114.69033778001945
2024-09-12,426.1470031738281,426.5162591700305,418.91148614101724,422.4643720681856,17418800,115.76393251595488
2024-09-13,429.7298278808594,430.9673410477323,424.61007095648097,424.97932695262114,15874600,116.73721608831893
2024-09-16,430.47833251953125,432.663960115382,427.36457004232324,429.7398205223156,13834700,116.94054930393172
2024-09-17,434.2807312011719,440.96735935499987,431.40647946288897,439.35060036636963,18874200,117.9734807128161
2024-09-18,429.94940185546875,435.1589754847829,429.5502069957536,434.13103425412396,18898000,116.79686392483926
2024-09-19,437.81365966796875,440.61804387535744,436.0272269078699,440.3485942013553,21706600,118.93320984282983
2024-09-20,434.4004821777344,438.3625528190564,433.35259186813613,436.34659898883444,55167100,118.00601137445692
2024-09-23,432.6440124511719,435.5881011366269,429.53024996375467,433.41246330331813,15128900,117.52886184300955
2024-09-24,428.31268310546875,432.48432563013114,425.24880857311865,432.1350187153662,17015800,116.3522450550327
2024-09-25,431.2467956542969,432.25478780854195,427.7138891426906,428.9713514363913,13396400,117.14930429648464
2024-09-26,430.4483947753906,434.4304144393862,428.27275694361356,434.2208424719693,14492000,116.93241663852152
2024-09-27,427.1649475097656,430.98731349999593,426.6160584093853,430.6579556744764,14896100,116.04045972025952
2024-09-30,429.4403991699219,429.5601850355194,424.5202548923187,427.3545779124989,16807300,116.6585920325081
2024-10-01,419.849609375,427.6240561781871,417.9733600914629,427.59411732607174,19092900,114.05322924848036
2024-10-02,416.2967224121094,421.9753581830839,415.87754802693416,421.735816910149,16582300,113.08807834152653
2024-10-03,415.7079162597656,418.7118826868124,413.46241092439135,416.79573518966424,13686400,112.92812763161363
2024-10-04,415.2288513183594,418.91148239103603,414.141032422096,417.4044891108862,19169700,112.7979884046927
2024-10-07,408.7218933105469,416.27674799671047,408.1829635105781,415.16898000097916,20919800,111.03035647934676
2024-10-08,413.8815612792969,414.8296757293512,407.3546475987459,410.0791746223265,19229300,112.43199359069695
2024-10-09,416.62603759765625,419.5402177563071,413.47234662969106,415.0292278034618,14974300,113.1775376610388
2024-10-10,415.0093078613281,416.5163012078428,412.3246790108455,414.4005410260384,13848400,112.73834885835119
2024-10-11,415.48834228515625,416.2967217455578,412.42446778596707,415.30870917320357,14144900,112.86847979509331
2024-10-14,418.302734375,423.1929399714268,416.6859449273295,416.93544552364324,16653100,113.63301666508325
2024-10-15,417.90350341796875,421.6360529989684,414.4304746563672,421.33663401346166,18900200,113.52456454592286
2024-10-16,415.2887268066406,415.5282376209468,409.66000947414466,414.34064286226896,15508900,112.81425373551312
2024-10-17,415.8875427246094,421.65599512005826,414.7597951900465,421.5162601711392,14820000,112.97692362407487
2024-10-18,417.3246765136719,418.81169030533886,415.4284780937268,416.30672505621476,17145300,113.36732472448006
2024-10-21,417.94342041015625,418.1230535224922,412.92346983800354,415.28873052027103,14206100,113.53540809980313
2024-10-22,426.656005859375,429.719850009177,417.20492213264845,417.65400492824705,25482200,115.902204408286
2024-10-23,423.7518005371094,430.2188362215334,421.68592837942305,429.99927448801196,19654400,115.11326954206544
2024-10-24,423.8815612792969,425.1290642527003,421.55619868116815,424.48033834123805,13581600,115.14851938235515
2024-10-25,427.2947082519531,431.6559737319955,425.7178779096375,425.9075007963015,16899100,116.07570956054923
2024-10-28,425.7378234863281,431.0771422085262,425.44839427381163,430.79770276573566,14882400,115.65277779850322
2024-10-29,431.0871276855469,432.3046917719988,424.94938886176953,427.14500621655657,17644100,117.10593008096355
2024-10-30,431.66595458984375,437.6240298288107,431.2368208895649,436.566149775902,29749100,117.26316990240635
2024-10-31,405.53826904296875,415.3286698537771,405.4883506505116,414.53024968400064,53971000,110.16551673596426
2024-11-01,409.55023193359375,414.669989017628,406.6859699751707,408.1929633155515,24230400,111.25537680272011
2024-11-04,407.64404296875,409.6001495592508,404.75983193250556,408.98136250106245,19672300,110.73755565404288
2024-11-05,410.6380310058594,414.0711614645437,407.26477825056725,407.55420745470553,17626000,111.55088022631526
2024-11-06,419.3406066894531,419.6100868075599,409.6999006422783,411.5961294118678,26681800,113.91495735614923
2024-11-07,424.58013916015625,425.997315920461,419.041238212776,420.4384354335317,19901800,115.3382898654388
2024-11-08,421.6959228515625,425.6480036424066,420.9374313170091,424.4703681752109,16891400,114.55478506633719
2024-11-11,417.1749572753906,423.9613608320793,415.16896287691225,421.67592700377526,24503300,113.32665310725021
2024-11-12,422.1849365234375,423.59212350380113,416.3665961739424,417.41448646778457,19401200,114.68762689154937
2024-11-13,424.3506164550781,428.4723406260961,417.37455923502137,420.7977304833057,21502200,115.27593943062719
2024-11-14,426.0372314453125,427.3146732159619,419.1609807373746,424.1509924128195,30246900,115.7341127427841
2024-11-15,414.1709899902344,421.95539641463347,412.8137213651046,418.981368798022,28247600,112.51061764650775
2024-11-18,414.9294738769531,417.56418428856415,411.27678155870234,414.04123715109023,24742000,112.71666175059063
2024-11-19,416.9554138183594,417.10510808078726,410.727858391825,412.28473963430486,18133500,113.2670135609087
2024-11-20,414.65997314453125,416.4563955899673,409.7597781109004,416.0372212157148,19191700,112.64345118154115
2024-11-21,412.8699951171875,419.7799987792969,410.2900085449219,419.5,20780200,112.15719903376309
2024-11-22,417.0,417.3999938964844,411.05999755859375,411.3699951171875,24814600,113.27912551214652
2024-11-25,418.7900085449219,421.0799865722656,414.8500061035156,418.3800048828125,27691100,113.7653859501034
2024-11-26,427.989990234375,429.0400085449219,418.8500061035156,419.5899963378906,23458900,116.26458470432166
2024-11-27,422.989990234375,427.2300109863281,422.0199890136719,425.1099853515625,18332400,114.90632180849256
2024-11-29,423.4599914550781,424.8800048828125,417.79998779296875,420.0899963378906,16271900,115.03399885230765
2024-12-02,430.9800109863281,433.0,421.30999755859375,421.57000732421875,20207200,117.07683155334905
2024-12-03,431.20001220703125,432.4700012207031,427.739990234375,429.8399963378906,18302000,117.13659545237267
2024-12-04,437.4200134277344,439.6700134277344,432.6300048828125,433.0299987792969,26009400,118.82627482639121
2024-12-05,442.6199951171875,444.6600036621094,436.1700134277344,437.9200134277344,21697800,120.2388632639462
2024-12-06,443.57000732421875,446.1000061035156,441.7699890136719,442.29998779296875,18821000,120.49693653022524
2024-12-09,446.0199890136719,448.3299865722656,440.5,442.6000061035156,19144400,121.16248037507422
2024-12-10,443.3299865722656,449.6199951171875,441.6000061035156,444.3900146484375,18469500,120.43173427390386
2024-12-11,448.989990234375,450.3500061035156,444.04998779296875,444.04998779296875,19200200,121.96928886680385
2024-12-12,449.55999755859375,456.1600036621094,449.1099853515625,449.1099853515625,20834800,122.12413282657128
2024-12-13,447.2699890136719,451.42999267578125,445.5799865722656,448.44000244140625,20177800,121.5020460990315
2024-12-16,451.5899963378906,452.17999267578125,445.2799987792969,447.2699890136719,23598800,122.67558723067073
2024-12-17,454.4599914550781,455.2900085449219,449.57000732421875,451.010009765625,22733500,123.45522880644803
2024-12-18,437.3900146484375,452.6499938964844,437.0199890136719,451.32000732421875,24444500,118.81812558062339
2024-12-19,437.0299987792969,443.17999267578125,436.32000732421875,441.6199951171875,22963700,118.72032634123073
2024-12-20,436.6000061035156,443.739990234375,428.6300048828125,433.1099853515625,64263700,118.60351772183233
2024-12-23,435.25,437.6499938964844,432.8299865722656,436.739990234375,19152500,118.23678508192272
2024-12-24,439.3299865722656,439.6000061035156,434.19000244140625,434.6499938964844,7164500,119.34512395724057
2024-12-26,438.1099853515625,440.94000244140625,436.6300048828125,439.0799865722656,8194200,119.01370747905113
2024-12-27,430.5299987792969,435.2200012207031,426.3500061035156,434.6000061035156,18117700,116.9545845766529
